Version	Status
0.25	stable
0.26	unstable Scrollwheel, aber Speicherüberlauf - nicht produktiv einsetzbar!
0.27	stable
0.28	stable Texterweiterung bei Selbstbegießung, kleinere Änderungen
0.29	stable
0.30	stable Selbstbewässerungsdauer auf 85 Sek erhöht, Twittertexte angepassts, unzureichende Selbstbegießung macht Website wieder frei zum Gießen
0.31	stable Auch geringe manuelle Wässerung über die Website löst den WateringCeck aus, Twitter Server Fehler blockiert erneutes twittern für 2 Stunden
0.32	stable Hashtag für "sehr tocken" auf #dry geändert. Watering Criteria auf 10 erhöht
0.33	stable Schwellwerte an neuen Sensor angepasst
0.34 	stable Schwellwerte noch einmal angepasst, Messdauer verlängert
0.35	stable Schwellwerte noch einmal angepasst, Messwerte für Durchschnitt auf 10 erhöht, Durchschnittswerte werden jetzt an Cosm übermittelt
0.37 	? - Zweiten Sensor für Feuchtigkeit integriert. Übertragung der Messwerte an Cosm. Anpassung der IP Adresse für Cosm
0.38	stable Twittertimer sind nach Pflanze unterschieden, um paralleles Twittern zu ermöglichen
0.39 	stable Messwerte von mehr als einer Pflanze können an die Website übertragen werden
0.40 	unstable - Code ansatzweise für Multiplanzentauglichkeit optimiert
0.41	stable Code bis auf Webserver für Mehrpflanzennutzung optimiert
0.42	unstable - Versuch das Wifly Shield einzubinden - unvollständig - nicht einsetzbar
0.43	stable - Code für RedFly WLAN Shield angepasst.
0.44 	stable - MoistLED blinken ausgebaut, 6 Feuchtesensoren angeschlossen, RedFly Connection wird nach Mitternacht getrennt und wieder neu aufgebaut, Sensor für die Wassermessung in der Kanne aufgenommen, WarnLED bei Trockenheit in der Kanne, Servo funktion ausgebaut, firstmessage funktion ausgebaut, Twittertime Messung ausgebaut
0.45	stable - Die Auslöser für die Twittermeldungen wurden so angepasst, dass nicht mehr die absoluten Messwerte sondern die Prozentfeuchtewerte über den Twitterinhalt entscheiden. Das harmonisiert das Verhalten der Meldungen mit der Website
0.46 	? - Wässerungsevents lösen jetzt auch Ändeurngen im Feuchtigkeitsstatus aus (z.B: Moisture_OK), der Code wurde in dem Feuchtigkeits- und Wässerungscheck aufgeräumt und ist besser lesbar, Nach einer Wässerung werden an Cosm die Wassermenge und direkt danach eine 0 Menge übertragen, um einen Ausschlag im Grafen zu erzeugen, Die Wassertankmessungen finden jetzt um 8, 17, 20 und 22 Uhr statt
0.47	? - Reduktion der Codegröße, kleinere Optimierungen und Fixes
0.48	stable - Ledigliche Feuchtigkeitsmessung und Übertragung an eine MySQL Datenbank via HTTP GET
0.49 	stable - Aufnahme der Pumpfunktion, Aufnahme von regelmäßigen WIFIChecks, Aufnahme der Webserver Funktion, um über die Website gießen zu können. 
0.50 	stable - Aufnahme der Wassertankchecks. Wassertankmessungen werden an die MySQL Datenbank gesendet und von dort aus ausgewertet. Vor dem Absenden von Daten an die MySQL Datenbank wird immer überprüft, ob auch wirklich eine Internetverbindung besteht. Wenn nicht, dann wird so lange versucht eine Verbindung aufzubauen, bis es klappt. 
0.51 	stable - 3 LEDs zeigen jetzt wie lange es noch bis zur nächsten Messung ist. 1 LED zeigt jetzt an, ob eine korrekte Uhrzeit vom NPT Server empfangen wurde
0.52	stable - In der Setup Funktion wird nun die Menge des Wassers im Wassertank überprüft. So lässt sich mit dem Reset-Button die LED ausschalten, wenn man unabhängig von der Checkzeit die Lampe ausschalten möchte und wenn man den STatus auf der Website direkt nach dem Auffüllen angezeigt bekommen will
0.53 	stable - Integration eines Dataloggers auf eine SD Karte mit SD Card Shield. Optimierungen im Speicherhandling durch übergreifenden Einsatz von PSTR. Aufnahme der RAM Meldung in den Http Send
0.56 	stable - Anpassung der Datenschwellwerte für Trockenheit und Feuchte. Erhöhrung der Gießmengen. Vergrößerung des Diagrammbereiches auf 40 - 90% für "mir geht es gut"
0.57 	stable - Für die Prozentumrechnung zwischen 26 - 40% wurde ein weiteres mapping eingefügt, um die Feuchte, bei der die Wässerung möglich ist, konkret definieren zu können. Bei einem Wässerungsabbruch wird nun in die Datenbank geschrieben, sodass dieser auf der Website abgefragt werden kann. 
